Year,Quarter,U.S. Average (Current $) ,U.S. Average (Inflation-Adjusted $) 
1995,1,296.90,505.46
1995,2,296.80,500.87
1995,3,287.51,483.07
1995,4,287.78,481.21
1996,1,283.97,470.56
1996,2,275.78,452.51
1996,3,269.49,439.85
1996,4,278.33,451.03
1997,1,283.40,456.18
1997,2,289.44,464.05
1997,3,282.27,450.78
1997,4,293.51,466.89
1998,1,304.74,483.46
1998,2,300.97,474.93
1998,3,315.25,495.54
1998,4,316.18,495.28
1999,1,331.74,517.66
1999,2,329.34,508.96
1999,3,317.22,487.20
1999,4,317.93,485.30
2000,1,340.23,514.24
2000,2,339.16,507.26
2000,3,336.66,499.54
2000,4,340.08,501.90
2001,1,347.69,508.26
2001,2,328.67,475.50
2001,3,303.02,437.82
2001,4,299.81,434.40
2002,1,320.02,462.03
2002,2,317.93,454.08
2002,3,303.30,431.35
2002,4,308.85,437.87
2003,1,319.19,447.99
2003,2,314.52,439.84
2003,3,312.39,434.73
2003,4,315.77,439.36
2004,1,320.23,441.58
2004,2,309.45,420.68
2004,3,296.54,401.72
2004,4,297.28,400.33
2005,1,301.39,403.32
2005,2,306.68,404.99
2005,3,305.91,399.11
2005,4,314.76,408.59
2006,1,323.34,417.47
2006,2,341.58,433.69
2006,3,330.12,416.80
2006,4,318.16,405.15
2007,1,317.84,400.54
2007,2,325.39,402.45
2007,3,327.56,404.03
2007,4,329.77,403.88
2008,1,333.29,403.61
2008,2,346.99,411.17
2008,3,358.93,420.43
2008,4,345.42,416.38
2009,1,313.82,380.17
2009,2,301.82,361.81
2009,3,306.95,365.47
2009,4,319.85,380.07
2010,1,328.12,388.33
2010,2,340.72,401.34
2010,3,339.71,399.78
2010,4,334.78,392.82
2011,1,355.72,412.18
2011,2,369.68,421.01
2011,3,360.74,409.16
2011,4,368.39,418.47
2012,1,372.83,418.08
2012,2,384.67,430.57
2012,3,366.97,407.97
2012,4,374.23,417.22
2013,1,378.33,419.32
2013,2,378.46,417.21
2013,3,391.64,430.11
2013,4,388.13,427.45
2014,1,387.37,423.39
2014,2,402.22,434.49
2014,3,399.25,430.79
2014,4,395.36,430.04
2015,1,390.13,426.67
2015,2,388.78,420.13
2015,3,374.11,403.22
2015,4,365.39,395.60
2016,1,359.47,388.94
2016,2,351.57,375.98
2016,3,344.86,367.58
2016,4,346.72,368.74
2017,1,349.44,368.72
2017,2,355.91,373.52
2017,3,335.83,351.05
2017,4,347.33,361.73
2018,1,346.49,357.69
2018,2,349.17,356.63
2018,3,343.28,349.61
2018,4,359.30,366.13
2019,1,350.12,355.59
2019,2,357.10,358.39
2019,3,345.09,345.39
2019,4,356.51,356.06
2020,1,336.13,334.30
2020,2,258.89,258.89
